,feature,encoding,weight,encoding_orig
273,vectortyp_kleinraum_Neapel,bin,0.0016181229773462784,nominal_multi
274,vectortyp_kleinraum_Florenz,bin,0.0016181229773462784,nominal_multi
275,vectortyp_kleinraum_Lucka,bin,0.0016181229773462784,nominal_multi
276,vectortyp_kleinraum_Mühldorf,bin,0.0016181229773462784,nominal_multi
277,vectortyp_kleinraum_Fürstenfeld,bin,0.0016181229773462784,nominal_multi
278,vectortyp_kleinraum_Lutterworth,bin,0.0016181229773462784,nominal_multi
279,vectortyp_kleinraum_Peniskola,bin,0.0016181229773462784,nominal_multi
280,vectortyp_kleinraum_Stettin,bin,0.0016181229773462784,nominal_multi
281,vectortyp_kleinraum_Gent,bin,0.0016181229773462784,nominal_multi
282,vectortyp_kleinraum_Brügge,bin,0.0016181229773462784,nominal_multi
283,vectortyp_kleinraum_Valladolid,bin,0.0016181229773462784,nominal_multi
284,vectortyp_kleinraum_Augsburg,bin,0.0016181229773462784,nominal_multi
285,vectortyp_kleinraum_Einsiedeln,bin,0.0016181229773462784,nominal_multi
286,vectortyp_kleinraum_Brescia,bin,0.0016181229773462784,nominal_multi
287,vectortyp_kleinraum_Osen,bin,0.0016181229773462784,nominal_multi
288,vectortyp_kleinraum_Genua,bin,0.0016181229773462784,nominal_multi
289,vectortyp_kleinraum_Torgau,bin,0.0016181229773462784,nominal_multi
290,vectortyp_kleinraum_Weimar,bin,0.0016181229773462784,nominal_multi
291,vectortyp_kleinraum_Königsberg,bin,0.0016181229773462784,nominal_multi
292,vectortyp_kleinraum_Brüssel,bin,0.0016181229773462784,nominal_multi
293,vectortyp_kleinraum_Edinburgh,bin,0.0016181229773462784,nominal_multi
294,vectortyp_kleinraum_Nürnberg,bin,0.0016181229773462784,nominal_multi
295,vectortyp_kleinraum_Eger,bin,0.0016181229773462784,nominal_multi
296,vectortyp_kleinraum_Neuenburg,bin,0.0016181229773462784,nominal_multi
297,vectortyp_kleinraum_London,bin,0.0016181229773462784,nominal_multi
298,vectortyp_kleinraum_Fehrbellin,bin,0.0016181229773462784,nominal_multi
299,vectortyp_kleinraum_Meißen,bin,0.0016181229773462784,nominal_multi
300,vectortyp_kleinraum_Schleiz,bin,0.0016181229773462784,nominal_multi
301,vectortyp_kleinraum_Roveredo,bin,0.0016181229773462784,nominal_multi
302,vectortyp_kleinraum_Belgrad,bin,0.0016181229773462784,nominal_multi
303,vectortyp_kleinraum_Narwa,bin,0.0016181229773462784,nominal_multi
304,vectortyp_kleinraum_Poltawa,bin,0.0016181229773462784,nominal_multi
305,vectortyp_kleinraum_Pruth,bin,0.0016181229773462784,nominal_multi
306,vectortyp_kleinraum_Kolin,bin,0.0016181229773462784,nominal_multi
307,vectortyp_kleinraum_Nimburg,bin,0.0016181229773462784,nominal_multi
308,vectortyp_kleinraum_Stockholm,bin,0.0016181229773462784,nominal_multi
309,vectortyp_kleinraum_Düsseldorf,bin,0.0016181229773462784,nominal_multi
310,vectortyp_kleinraum_Herrnhut,bin,0.0016181229773462784,nominal_multi
311,vectortyp_kleinraum_Mannheim,bin,0.0016181229773462784,nominal_multi
312,vectortyp_kleinraum_Teplitz,bin,0.0016181229773462784,nominal_multi
313,vectortyp_kleinraum_Lambach,bin,0.0016181229773462784,nominal_multi
314,vectortyp_kleinraum_Frankfurt am Main,bin,0.0016181229773462784,nominal_multi
315,vectortyp_kleinraum_Hall,bin,0.0016181229773462784,nominal_multi
316,vectortyp_kleinraum_Beresina,bin,0.0016181229773462784,nominal_multi
317,vectortyp_kleinraum_Thurnau,bin,0.0016181229773462784,nominal_multi
318,vectortyp_kleinraum_Verona,bin,0.0016181229773462784,nominal_multi
319,vectortyp_kleinraum_Kyme,bin,0.0016181229773462784,nominal_multi
